,index,circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude
20,438,POSO MOUNTAIN2103,2019-10-10 10:23:00,2019-10-11 18:21:00,1918.0,BAKERSFIELD,2.0,25.0,10.0,,,
21,439,POSO MOUNTAIN2104,2019-10-10 10:18:00,2019-10-11 19:59:00,2021.0,BAKERSFIELD,2.0,9.0,2.0,,,
22,451,RAWSON1103,2019-10-09 00:27:00,2019-10-10 18:39:00,2532.0,"RED BLUFF, SAN PABLO",2.0,2489.0,2007.0,,,
23,496,SPAULDING1101,2019-10-09 02:22:00,2019-10-12 09:30:00,4748.0,"EMIGRANT GAP, SODA SPRINGS",3.0,161.0,81.0,,,
24,498,SPRUCE0401,2019-10-09 22:49:00,2019-10-10 15:38:00,1009.0,"KENSINGTON, BERKELEY",3.0,690.0,682.0,,,
25,499,SPRUCE0402,2019-10-09 22:49:00,2019-10-10 16:44:00,1075.0,BERKELEY,2.0,622.0,607.0,,,
26,509,STILLWATER STATION1101,2019-10-09 00:34:00,2019-10-11 14:48:00,3734.0,REDDING,2.0,695.0,593.0,,,
27,510,STILLWATER STATION1102,2019-10-09 00:34:00,2019-10-11 15:36:00,3782.0,REDDING,2.0,1371.0,1320.0,,,
28,512,SUBSTATION K1102,2019-10-09 22:52:00,2019-10-10 18:50:00,1198.0,"OAKLAND, BERKELEY, ORINDA",3.0,2521.0,2406.0,,,
29,513,SUBSTATION K1104,2019-10-09 22:37:00,2019-10-10 21:34:00,1377.0,OAKLAND,3.0,2650.0,2378.0,,,
30,514,SUBSTATION X1101,2019-10-09 22:37:00,2019-10-10 19:18:00,1241.0,"OAKLAND, PIEDMONT",2.0,692.0,677.0,,,
31,515,SUBSTATION X1106,2019-10-09 22:49:00,2019-10-10 20:01:00,1272.0,OAKLAND,3.0,3726.0,3492.0,,,
32,525,TAR FLAT0401,2019-10-09 15:28:00,2019-10-10 15:40:00,1452.0,SONORA,3.0,341.0,332.0,,,
33,526,TAR FLAT0402,2019-10-09 15:28:00,2019-10-10 17:16:00,1548.0,SONORA,3.0,480.0,416.0,,,
34,538,VACA DIXON1101,2019-10-09 00:17:00,2019-10-10 15:31:00,2354.0,VACAVILLE,2.0,915.0,739.0,,,
35,539,VACA DIXON1105,2019-10-09 00:18:00,2019-10-10 18:54:00,2556.0,VACAVILLE,2.0,1536.0,1397.0,,,
36,639,BIG TREES0402,2019-10-26 20:39:00,2019-10-28 18:14:00,2735.0,"FELTON, SANTA CRUZ",3.0,857.0,803.0,,,
37,643,BOSTON0401,2019-10-26 23:14:00,2019-10-29 11:11:00,3597.0,OAKLAND,2.0,189.0,184.0,,,
38,694,COAST RD.0401,2019-10-26 20:32:00,2019-10-28 19:51:00,2839.0,DAVENPORT,2.0,10.0,2.0,,,
39,737,ESTUDILLO0401,2019-10-26 21:56:00,2019-10-28 10:03:00,2167.0,SAN LEANDRO,2.0,154.0,102.0,,,
40,782,HALF MOONBAY1101,2019-10-26 20:04:00,2019-10-28 16:38:00,2674.0,"EL GRANADA, HALF MOON BAY, MOSS BEACH, WOODSIDE, SAN MATEO",3.0,2558.0,2045.0,,,
41,783,HALF MOONBAY1102,2019-10-26 20:02:00,2019-10-28 16:33:00,2671.0,"HALF MOON BAY, MONTARA, EL GRANADA, MOSS BEACH",3.0,4859.0,4507.0,,,
42,784,HALF MOONBAY1103,2019-10-26 20:02:00,2019-10-30 16:47:00,5565.0,"HALF MOON BAY, PESCADERO, LA HONDA, SAN GREGORIO, LOMA MAR, WOODSIDE",3.0,4866.0,3995.0,,,
43,812,HOLLYWOOD0401,2019-10-26 21:45:00,2019-10-28 21:07:00,2842.0,OAKLAND,2.0,950.0,922.0,,,
