circuit_name,deenergize_time,restoration_time,time_out_min,key_communities,hftd_tier,total_affected,residential_affected,zip_code,longitude,latitude,substn_present,total_pop,median_age,median_income,white_pct,tmin_d-4,tmax_d-4,wspd_d-4,tmin_d-3,tmax_d-3,wspd_d-3,tmin_d-2,tmax_d-2,wspd_d-2,tmin_d-1,tmax_d-1,wspd_d-1,tmin_d-0,tmax_d-0,wspd_d-0
PLACERVILLE,2020-09-27 18:24:00,2020-09-28 11:24:00,1020.0,PLACERVILLE,2.0,1021.0,779.0,95667,-120.783838608274,38.7308986421241,True,35452.0,50.4,74324.0,0.9177761480311407,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
PLACERVILLE,2020-09-27 18:22:00,2020-09-28 14:20:00,1198.0,PLACERVILLE,2.0,2059.0,1689.0,95667,-120.783838608274,38.7308986421241,True,35452.0,50.4,74324.0,0.9177761480311407,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
PLACERVILLE,2020-09-27 18:07:00,2020-09-28 16:15:00,1328.0,"COLOMA, GARDEN VALLEY, GEORGETOWN, KELSEY, PLACERVILLE",3.0,5155.0,4766.0,95667,-120.783838608274,38.7308986421241,True,35452.0,50.4,74324.0,0.9177761480311407,17.0,29.0,9.6,17.0,27.0,10.0,14.0,27.0,7.5,18.0,27.0,8.8,,,
SALT SPRINGS,2020-09-27 18:22:00,2020-09-28 14:08:00,1186.0,"ARNOLD, BEAR VALLEY, PIONEER",2.0,384.0,330.0,95666,-120.218420167047,38.498419895679,True,4692.0,56.5,71648.0,0.8921568627450981,17.0,30.0,5.7,14.0,28.0,7.0,13.0,27.0,5.7,19.0,28.0,10.4,,,
SALT SPRINGS,2020-09-27 18:22:00,2020-09-28 13:06:00,1124.0,"ARNOLD, CAMP CONNELL, DORRINGTON",3.0,1976.0,1899.0,95666,-120.218420167047,38.498419895679,True,4692.0,56.5,71648.0,0.8921568627450981,17.0,30.0,5.7,14.0,28.0,7.0,13.0,27.0,5.7,19.0,28.0,10.4,,,
SHADY GLEN,2020-09-27 18:51:00,2020-09-28 13:02:00,1091.0,COLFAX,3.0,463.0,420.0,95713,-120.952945312318,39.1153445138582,True,10545.0,47.0,75369.0,0.889995258416311,19.0,28.0,7.3,17.0,27.0,5.8,14.0,26.0,4.6,16.0,25.0,6.3,,,
SYCAMORE CREEK,2020-09-27 04:12:00,2020-09-28 16:54:00,2202.0,"CHICO, COHASSET",3.0,456.0,418.0,95973,-121.824028388523,39.7687610613951,True,36223.0,37.0,73817.0,0.8212737763299561,9.8,25.3,7.3,9.5,25.3,5.8,9.7,25.7,4.6,15.6,25.5,6.3,,,
TIGER CREEK,2020-09-27 18:50:00,2020-09-28 12:06:00,1036.0,PIONEER,3.0,14.0,3.0,95666,-120.492276907738,38.4491752438661,True,4692.0,56.5,71648.0,0.8921568627450981,17.0,30.0,5.7,14.0,28.0,7.0,13.0,27.0,5.7,19.0,28.0,10.4,,,
VOLTA,2020-09-27 18:50:00,2020-09-28 16:03:00,1273.0,"MANTON, MILL CREEK, MINERAL, PAYNES CREEK, RED BLUFF, SHINGLETOWN",3.0,1291.0,1082.0,96059,-121.866432819395,40.459551266657,True,478.0,70.3,108102.0,0.9560669456066946,13.9,31.1,5.8,15.6,29.4,4.3,15.0,31.1,3.6,16.1,33.3,9.7,,,
VOLTA,2020-09-27 19:02:00,2020-09-28 12:45:00,1063.0,SHINGLETOWN,3.0,2573.0,2388.0,96059,-121.866432819395,40.459551266657,True,478.0,70.3,108102.0,0.9560669456066946,13.9,31.1,5.8,15.6,29.4,4.3,15.0,31.1,3.6,16.1,33.3,9.7,,,
WEST POINT,2020-09-27 18:27:00,2020-09-28 13:07:00,1120.0,"PIONEER, VOLCANO",3.0,1755.0,1692.0,95666,-120.549773671074,38.4210150460082,True,4692.0,56.5,71648.0,0.8921568627450981,17.0,30.0,5.7,14.0,28.0,7.0,13.0,27.0,5.7,19.0,28.0,10.4,,,
WEST POINT,2020-09-27 18:29:00,2020-09-28 15:50:00,1281.0,"GLENCOE, MOKELUMNE HILL, MOUNTAIN RANCH, RAIL ROAD FLAT, WEST POINT, WILSEYVILLE",3.0,2815.0,2563.0,95666,-120.549773671074,38.4210150460082,True,4692.0,56.5,71648.0,0.8921568627450981,17.0,30.0,5.7,14.0,28.0,7.0,13.0,27.0,5.7,19.0,28.0,10.4,,,
WYANDOTTE,2020-09-27 18:31:00,2020-09-28 12:51:00,1100.0,OROVILLE,2.0,27.0,19.0,95966,-121.540946685493,39.4917002562126,True,29444.0,45.2,48228.0,0.7719399538106235,12.0,24.1,7.3,8.1,25.4,5.8,9.0,24.2,4.6,9.8,22.5,6.3,,,
WYANDOTTE,2020-09-27 04:06:00,2020-09-28 13:30:00,2004.0,OROVILLE,0.0,1.0,1.0,95966,-121.540946685493,39.4917002562126,True,29444.0,45.2,48228.0,0.7719399538106235,12.0,24.1,7.3,8.1,25.4,5.8,9.0,24.2,4.6,9.8,22.5,6.3,,,
WYANDOTTE,2020-09-27 18:32:00,2020-09-28 17:19:00,1367.0,OROVILLE,3.0,547.0,524.0,95966,-121.540946685493,39.4917002562126,True,29444.0,45.2,48228.0,0.7719399538106235,12.0,24.1,7.3,8.1,25.4,5.8,9.0,24.2,4.6,9.8,22.5,6.3,,,
ALLEGHANY,2020-10-14 10:30:00,2020-10-16 11:07:00,2917.0,"DOWNIEVILLE, GOODYEARS BAR, SIERRA CITY",3.0,957.0,810.0,95910,-120.844800939297,39.4654815558529,True,157.0,58.3,,1.0,8.9,15.6,11.5,8.3,18.9,5.2,14.4,22.2,5.9,16.1,22.8,6.9,,,
BANGOR,2020-10-14 19:14:00,2020-10-16 09:32:00,2298.0,"DOBBINS, OREGON HOUSE",2.0,110.0,106.0,95914,-121.403175699252,39.3876737377382,True,660.0,51.3,,0.9287878787878788,2.3,18.6,5.5,5.1,18.4,5.4,0.7,16.0,3.8,2.0,13.9,5.0,,,
BIG BASIN,2020-10-14 20:00:00,2020-10-15 12:27:00,987.0,BOULDER CREEK,3.0,48.0,45.0,95060,-122.172144689568,37.1308880148062,True,48910.0,35.3,87159.0,0.7667552647720303,14.4,24.4,12.2,13.9,26.1,11.3,12.8,28.9,6.5,12.8,30.0,7.7,,,
BIG BASIN,2020-10-14 20:00:00,2020-10-15 17:54:00,1314.0,"BOULDER CREEK, LOS GATOS",3.0,193.0,177.0,95060,-122.172144689568,37.1308880148062,True,48910.0,35.3,87159.0,0.7667552647720303,14.4,24.4,12.2,13.9,26.1,11.3,12.8,28.9,6.5,12.8,30.0,7.7,,,
BIG BEND,2020-10-14 18:20:00,2020-10-16 16:18:00,2758.0,OROVILLE,3.0,237.0,211.0,95965,-121.491517892521,39.6773546412159,True,20681.0,37.0,35668.0,0.6508389342875103,2.3,18.6,5.5,5.1,18.4,5.4,0.7,16.0,3.8,2.0,13.9,5.0,,,
BIG BEND,2020-10-14 18:20:00,2020-10-16 16:18:00,2758.0,BERRY CREEK,3.0,80.0,70.0,95965,-121.491517892521,39.6773546412159,True,20681.0,37.0,35668.0,0.6508389342875103,2.3,18.6,5.5,5.1,18.4,5.4,0.7,16.0,3.8,2.0,13.9,5.0,,,
BUCKS CREEK,2020-10-14 18:11:00,2020-10-16 15:44:00,2733.0,"OROVILLE, STORRIE",3.0,4.0,0.0,95984,-121.283901163118,39.9864072907691,True,303.0,58.2,,0.49174917491749176,13.0,20.0,5.5,11.0,22.0,5.4,16.0,26.0,3.8,18.0,27.0,5.0,,,
BUTTE,2020-10-14 18:13:00,2020-10-16 13:11:00,2578.0,CHICO,3.0,244.0,226.0,95928,-121.813357076893,39.7122064481817,True,38655.0,32.0,56204.0,0.824550510930022,11.9,25.7,5.5,11.5,24.7,5.4,4.3,18.0,3.8,2.1,22.1,5.0,,,
CALISTOGA,2020-10-14 18:11:00,2020-10-17 06:20:00,3609.0,CALISTOGA,3.0,1224.0,931.0,94515,-122.578610444001,38.592088042243,True,7525.0,47.7,85263.0,0.7918936877076412,11.1,20.0,3.5,7.2,28.3,6.8,7.8,31.7,3.7,9.4,33.3,5.5,,,
CALISTOGA,2020-10-14 18:11:00,2020-10-17 06:20:00,3609.0,CALISTOGA,3.0,608.0,505.0,94515,-122.578610444001,38.592088042243,True,7525.0,47.7,85263.0,0.7918936877076412,11.1,20.0,3.5,7.2,28.3,6.8,7.8,31.7,3.7,9.4,33.3,5.5,,,
CAMP EVERS,2020-10-14 20:03:00,2020-10-15 15:11:00,1148.0,"FELTON, LOS GATOS",3.0,118.0,113.0,95066,-122.025136611907,37.0418883501148,True,15275.0,47.5,109894.0,0.8082487725040917,11.7,23.3,6.2,13.9,26.1,5.2,11.1,31.1,6.0,10.0,31.1,5.4,,,
CAMP EVERS,2020-10-14 20:01:00,2020-10-15 17:55:00,1314.0,"LOS GATOS, REDWOOD ESTATES, SANTA CRUZ, SCOTTS VALLEY",3.0,1140.0,1058.0,95066,-122.025136611907,37.0418883501148,True,15275.0,47.5,109894.0,0.8082487725040917,11.7,23.3,6.2,13.9,26.1,5.2,11.1,31.1,6.0,10.0,31.1,5.4,,,
CAYETANO,2020-10-14 20:43:00,2020-10-16 11:36:00,2333.0,LIVERMORE,3.0,174.0,121.0,94551,-121.77116328728,37.7386049986163,True,48151.0,37.8,119087.0,0.5735083383522668,13.3,23.9,10.6,11.7,27.8,6.6,11.1,30.6,5.2,11.7,33.3,3.9,,,
