Circuit Name,De-Energization Date and Time (PDT),Restoration Date and Time (PDT),Counties,HFTD Tier(s),Total Customers,Residential Customers,Commercial / Industrial Customers,Medical Baseline Customers,Other Customers
LOGAN CREEK 2102*,10/25/2020 10:08,10/26/2020 14:17,"ELK CREEK,
WILLOWS",Tier 2,9,4,3,0,2
LONE TREE 2105*,10/25/2020 21:00,10/27/2020 11:35,ANTIOCH,Tier 2,1,1,0,0,0
LOS GATOS 1106*,10/25/2020 22:01,10/27/2020 10:35,"LOS GATOS,
REDWOOD
ESTATES",Tier 3,1157,1082,73,72,2
LOS GATOS 1107*,10/25/2020 22:25,10/27/2020 15:27,LOS GATOS,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1592,1431,155,74,6
LOW GAP 1101,10/25/2020 16:26,10/26/2020 15:42,"BRIDGEVILLE,
MAD RIVER, RUTH,
ZENIA","Partially
Outside
HFTD,
Tier 2",670,563,105,26,2
LUCERNE 1103,10/25/2020 16:11,10/27/2020 14:03,"LAKEPORT, NICE,
UPPER LAKE","Partially
Outside
HFTD,
Tier 2",2128,1915,199,207,14
LUCERNE 1106*,10/25/2020 15:10,10/27/2020 14:19,"GLENHAVEN,
KELSEYVILLE,
LUCERNE","Partially
Outside
HFTD,
Tier 2",1563,1479,80,120,4
MADISON 2101*,10/25/2020 17:30,10/26/2020 18:03,"CAPAY, ESPARTO",Tier 2,10,0,10,0,0
MARTELL 1101*,10/25/2020 15:23,10/27/2020 9:55,"SUTTER CREEK,
VOLCANO",Tier 2,475,448,23,51,4
MAXWELL 1105*,10/25/2020 10:05,10/26/2020 18:10,"MAXWELL, SITES","Partially
Outside
HFTD,
Tier 2",44,29,9,1,6
MC ARTHUR 1102*,10/25/2020 14:08,10/26/2020 18:52,MCARTHUR,"Partially
Outside
HFTD,
Tier 2",8,5,2,0,1
MC KEE 1103*,10/25/2020 21:38,10/28/2020 0:58,SAN JOSE,"Partially
Outside
HFTD,
Tier 2",77,71,6,2,0
MC KEE 1107*,10/25/2020 21:20,10/27/2020 10:25,SAN JOSE,"Partially
Outside
HFTD,
Tier 2",40,39,1,2,0
MC KEE 1108*,10/25/2020 21:12,10/26/2020 18:26,SAN JOSE,"Partially
Outside
HFTD,
Tier 2",26,25,1,1,0
MC KEE 1111*,10/25/2020 21:17,10/26/2020 18:53,SAN JOSE,"Partially
Outside
HFTD,
Tier 2",141,133,8,6,0
MENLO 1102*,10/25/2020 22:02,10/27/2020 10:24,"LA HONDA,
PORTOLA VALLEY,
REDWOOD CITY,
WOODSIDE","Tier 3,
Tier 2",238,209,27,7,2
MENLO 1103*,10/25/2020 22:10,10/26/2020 18:56,"LA HONDA, LOMA
MAR, LOS ALTOS
HILLS, LOS GATOS,
PESCADERO","Partially
Outside
HFTD,
Tier 2",444,338,103,14,3
MIDDLETOWN 1101,10/25/2020 16:05,10/27/2020 17:48,"CALISTOGA, COBB,
KELSEYVILLE,
LOCH LOMOND,
MIDDLETOWN","Partially
Outside
HFTD,
Tier 3,
Tier 2",1936,1627,288,96,21
MIDDLETOWN 1102,10/25/2020 16:07,10/27/2020 15:44,"HIDDEN VALLEY
LAKE,
MIDDLETOWN","Partially
Outside
HFTD,
Tier 2",2313,2093,208,170,12
MIDDLETOWN 1103,10/25/2020 16:02,10/27/2020 16:53,MIDDLETOWN,"Partially
Outside
HFTD,
Tier 3,
Tier 2",143,96,38,8,9
MILPITAS 1109*,10/25/2020 21:13,10/27/2020 12:04,"MILPITAS, SAN
JOSE, SUNOL","Partially
Outside
HFTD,
Tier 2",310,235,66,13,9
MIRABEL 1101*,10/25/2020 19:06,10/27/2020 12:57,"FORESTVILLE,
GUERNEVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",451,404,41,18,6
MIRABEL 1102*,10/25/2020 19:03,10/27/2020 12:10,"FORESTVILLE,
GUERNEVILLE,
HEALDSBURG","Partially
Outside
HFTD,
Tier 3,
Tier 2",1715,1576,120,78,19
MIWUK 1701,10/25/2020 13:35,10/27/2020 12:20,"LONG BARN, MI
WUK VILLAGE,
TUOLUMNE,
TWAIN HARTE","Tier 3,
Tier 2",3650,3397,248,210,5
MIWUK 1702,10/25/2020 16:02,10/27/2020 10:15,"SONORA, TWAIN
HARTE","Tier 3,
Tier 2",3775,3519,252,246,4
MOLINO 1102*,10/25/2020 19:01,10/28/2020 11:06,"BODEGA,
FORESTVILLE,
OCCIDENTAL,
SEBASTOPOL,
VALLEY FORD","Partially
Outside
HFTD,
Tier 3,
Tier 2",1573,1343,183,77,47
MONTE RIO 1111,10/25/2020 19:00,10/27/2020 12:50,"CAZADERO,
DUNCANS MILLS,
GUERNEVILLE,
JENNER, MONTE
RIO, VILLA
GRANDE","Partially
Outside
HFTD,
Tier 3,
Tier 2",1719,1527,188,82,4
MONTE RIO 1112,10/25/2020 19:11,10/26/2020 18:12,"CAMP MEEKER,
GUERNEVILLE,
MONTE RIO,
OCCIDENTAL,
SEBASTOPOL",Tier 3,1123,1028,95,48,0
MONTE RIO 1113,10/25/2020 19:01,10/27/2020 12:16,"GUERNEVILLE,
MONTE RIO, RIO
NIDO",Tier 3,3836,3449,384,188,3
MONTICELLO 1101,10/25/2020 17:01,10/27/2020 16:26,"NAPA, SUISUN
CITY","Partially
Outside
HFTD,
Tier 2",1100,891,161,69,48
MORAGA 1101,10/25/2020 20:08,10/27/2020 14:18,ORINDA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1228,1062,160,54,6
MORAGA 1102,10/25/2020 20:24,10/27/2020 9:16,ORINDA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",858,612,244,38,2
MORAGA 1103,10/25/2020 20:05,10/26/2020 19:37,"MORAGA, ORINDA","Partially
Outside
HFTD,
Tier 3,
Tier 2",2912,2781,131,126,0
MORAGA 1104,10/25/2020 20:42,10/27/2020 12:35,"LAFAYETTE,
MORAGA, ORINDA","Partially
Outside
HFTD,
Tier 2",1750,1611,135,97,4
MORAGA 1105*,10/25/2020 20:02,10/27/2020 13:27,"CANYON, MORAGA","Partially
Outside
HFTD,
Tier 3,
Tier 2",901,863,38,41,0
MORGAN HILL 2111*,10/25/2020 22:00,10/26/2020 18:53,MORGAN HILL,"Tier 3,
Tier 2",118,104,14,5,0
"MOUNTAIN
QUARRIES 2101",10/25/2020 16:22,10/26/2020 18:13,"COOL, GARDEN
VALLEY,
GEORGETOWN,
GREENWOOD,
PILOT HILL","Partially
Outside
HFTD,
Tier 3,
Tier 2",3613,3295,298,289,20
NAPA 1112*,10/25/2020 17:38,10/27/2020 15:18,NAPA,"Partially
Outside
HFTD,
Tier 2",533,457,50,30,26
NARROWS 2101*,10/25/2020 17:17,10/26/2020 11:25,BROWNS VALLEY,Tier 2,264,234,27,13,3
NARROWS 2102,10/25/2020 17:30,10/27/2020 11:21,"NEVADA CITY,
PENN VALLEY,
SMARTSVILLE","Partially
Outside
HFTD,
Tier 2",3395,3248,133,227,14
NARROWS 2105,10/25/2020 17:33,10/27/2020 12:05,"GRASS VALLEY,
PENN VALLEY,
ROUGH AND
READY,
SMARTSVILLE","Partially
Outside
HFTD,
Tier 2",3913,3506,385,245,22
NORTH DUBLIN 2103*,10/25/2020 20:06,10/27/2020 14:56,"LIVERMORE,
PLEASANTON","Partially
Outside
HFTD,
Tier 2",166,121,34,8,11
NOTRE DAME 1104*,10/25/2020 14:04,10/27/2020 11:54,"CHICO, FOREST
RANCH","Tier 3,
Tier 2",211,186,23,12,2
OAKHURST 1101,10/25/2020 21:02,10/26/2020 16:55,"AHWAHNEE,
MARIPOSA,
OAKHURST,
RAYMOND","Partially
Outside
HFTD,
Tier 3,
Tier 2",1994,1695,292,195,7
OAKHURST 1102,10/25/2020 21:03,10/26/2020 15:29,OAKHURST,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1048,749,297,91,2
OAKHURST 1103,10/25/2020 21:03,10/27/2020 10:54,"AHWAHNEE, BASS
LAKE, FISH CAMP,
OAKHURST,
WAWONA,
YOSEMITE
NATIONAL PARK","Partially
Outside
HFTD,
Tier 3,
Tier 2",3803,3110,686,238,7
OAKLAND D 1112*,10/25/2020 20:02,10/27/2020 15:43,"BERKELEY,
OAKLAND","Partially
Outside
HFTD,
Tier 3,
Tier 2",360,304,56,8,0
OAKLAND J 1105*,10/25/2020 20:04,10/26/2020 19:54,OAKLAND,"Partially
Outside
HFTD,
Tier 2",777,749,23,20,5
OAKLAND K 1101*,10/25/2020 20:29,10/26/2020 17:33,BERKELEY,Tier 3,35,35,0,0,0
OAKLAND K 1102*,10/25/2020 20:22,10/27/2020 19:48,"BERKELEY,
OAKLAND, ORINDA",Tier 3,2021,1927,94,92,0
OAKLAND K 1103*,10/25/2020 20:01,10/27/2020 15:33,OAKLAND,"Tier 3,
Tier 2",658,627,31,21,0
OAKLAND K 1104*,10/25/2020 20:45,10/27/2020 17:24,OAKLAND,"Tier 3,
Tier 2",2135,1877,258,82,0
OAKLAND X 1104*,10/26/2020 22:00,10/27/2020 15:17,OAKLAND,Tier 3,1516,1471,45,68,0
OAKLAND X 1106*,10/25/2020 20:04,10/27/2020 16:35,OAKLAND,"Tier 3,
Tier 2",1641,1528,109,80,4
OREGON TRAIL 1102,10/25/2020 10:00,10/26/2020 17:59,"REDDING, SHASTA
LAKE","Partially
Outside
HFTD,
Tier 2",849,781,66,82,2
OREGON TRAIL 1103,10/25/2020 10:00,10/27/2020 8:17,"BELLA VISTA,
REDDING","Partially
Outside
HFTD,
Tier 2",1735,1637,88,134,10
OREGON TRAIL 1104,10/25/2020 10:00,10/26/2020 17:19,"PALO CEDRO,
REDDING","Partially
Outside
HFTD,
Tier 2",956,847,105,72,4
ORINDA 0401,10/25/2020 20:50,10/27/2020 14:03,ORINDA,"Partially
Outside
HFTD,
Tier 2",289,277,12,16,0
ORINDA 0402,10/25/2020 20:50,10/27/2020 13:51,ORINDA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",454,437,17,24,0
ORO FINO 1101,10/25/2020 14:01,10/27/2020 14:53,MAGALIA,Tier 3,2284,2212,70,276,2
ORO FINO 1102,10/25/2020 14:01,10/27/2020 15:25,"BUTTE MEADOWS,
FOREST RANCH,
MAGALIA,
STIRLING CITY","Tier 3,
Tier 2",1974,1839,123,165,12
PALO SECO 0401,10/25/2020 20:14,10/26/2020 18:55,"OAKLAND,
PIEDMONT","Partially
Outside
HFTD,
Tier 2",611,598,13,18,0
PANORAMA 1101*,10/25/2020 10:00,10/26/2020 13:17,COTTONWOOD,"Partially
Outside
HFTD,
Tier 2",808,794,14,97,0
PANORAMA 1102*,10/25/2020 14:00,10/26/2020 16:32,ANDERSON,"Partially
Outside
HFTD,
Tier 2",92,55,25,8,12
PARADISE 1103,10/25/2020 14:02,10/27/2020 10:03,PARADISE,"Partially
Outside
HFTD,
Tier 3",508,323,185,32,0
PARADISE 1104,10/25/2020 14:00,10/27/2020 10:50,PARADISE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1943,1726,215,143,2
PARADISE 1105,10/25/2020 14:11,10/27/2020 9:31,"MAGALIA,
PARADISE","Partially
Outside
HFTD,
Tier 3",1412,1182,229,105,1
PARADISE 1106,10/25/2020 14:12,10/26/2020 19:01,PARADISE,"Partially
Outside
HFTD,
Tier 3",435,378,57,24,0
PAUL SWEET 2106*,10/25/2020 22:16,10/26/2020 17:41,SOQUEL,Tier 3,8,8,0,1,0
PENNGROVE 1101*,10/25/2020 15:15,10/27/2020 18:30,PENNGROVE,"Partially
Outside
HFTD,
Tier 2",267,236,26,14,5
PEORIA 1705*,10/25/2020 15:16,10/26/2020 15:38,"JAMESTOWN,
SONORA","Partially
Outside
HFTD,
Tier 2",1111,910,199,119,2
PIKE CITY 1101,10/25/2020 14:00,10/28/2020 11:56,"CAMPTONVILLE,
NORTH SAN JUAN",Tier 3,388,343,43,40,2
PIKE CITY 1102,10/25/2020 14:00,10/28/2020 11:20,CAMPTONVILLE,Tier 3,24,15,8,1,1
PINE GROVE 1101,10/25/2020 16:02,10/26/2020 13:37,"JACKSON, PINE
GROVE, SUTTER
CREEK",Tier 2,1345,1189,146,101,10
PINE GROVE 1102,10/25/2020 16:03,10/26/2020 18:30,"FIDDLETOWN, PINE
GROVE, PIONEER,
SUTTER CREEK,
VOLCANO","Tier 3,
Tier 2",4229,3814,399,348,16
PINECREST 0401,10/25/2020 16:01,10/27/2020 12:34,PINECREST,"Partially
Outside
HFTD,
Tier 3,
Tier 2",204,175,29,2,0
PIT NO 1 1101,10/25/2020 14:02,10/27/2020 8:32,"FALL RIVER MILLS,
MCARTHUR","Partially
Outside
HFTD,
Tier 2",750,569,141,41,40
PIT NO 3 2101,10/25/2020 14:07,10/27/2020 13:20,BURNEY,"Partially
Outside
HFTD,
Tier 2",126,81,40,5,5
PIT NO 7 1101,10/25/2020 14:10,10/27/2020 12:53,"MONTGOMERY
CREEK, ROUND
MOUNTAIN",Tier 2,2,1,1,0,0
PLACERVILLE 1109,10/25/2020 15:11,10/27/2020 18:00,PLACERVILLE,"Partially
Outside
HFTD,
Tier 2",571,417,152,31,2
PLACERVILLE 1110,10/25/2020 15:12,10/27/2020 16:46,PLACERVILLE,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1542,1274,265,97,3
PLACERVILLE 1111,10/25/2020 15:12,10/27/2020 17:46,PLACERVILLE,"Partially
Outside
HFTD,
Tier 2",1091,817,264,63,10
PLACERVILLE 1112,10/25/2020 15:17,10/27/2020 18:31,PLACERVILLE,"Partially
Outside
HFTD,
Tier 2",2065,1695,367,122,3
PLACERVILLE 2106,10/25/2020 15:19,10/28/2020 13:02,"COLOMA, GARDEN
VALLEY,
GEORGETOWN,
KELSEY,
PLACERVILLE","Tier 3,
Tier 2",5165,4778,362,349,25
POINT MORETTI 1101*,10/25/2020 21:24,10/27/2020 12:56,SANTA CRUZ,"Tier 3,
Tier 2",729,680,47,46,2
"POTTER VALLEY P H
1105*",10/25/2020 15:15,10/27/2020 9:04,"POTTER VALLEY,
UKIAH, UPPER
LAKE","Tier 3,
Tier 2",120,101,13,3,6
PUEBLO 1104*,10/25/2020 15:36,10/27/2020 19:17,NAPA,"Partially
Outside
HFTD,
Tier 2",265,190,54,14,21
PUEBLO 1105*,10/25/2020 15:27,10/27/2020 15:27,NAPA,"Partially
Outside
HFTD,
Tier 2",477,329,83,30,65
PUEBLO 2102*,10/25/2020 16:44,10/27/2020 19:13,"NAPA, OAKVILLE,
YOUNTVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",379,236,85,7,58
PUEBLO 2103*,10/25/2020 15:50,10/28/2020 10:10,NAPA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",559,426,67,21,66
PUTAH CREEK 1102*,10/25/2020 17:17,10/26/2020 18:02,WINTERS,"Partially
Outside
HFTD,
Tier 2",185,123,39,6,23
RACETRACK 1703,10/25/2020 16:02,10/26/2020 19:01,"COLUMBIA,
SONORA","Partially
Outside
HFTD,
Tier 3,
Tier 2",3424,2899,515,279,10
RACETRACK 1704,10/25/2020 16:01,10/26/2020 19:08,"JAMESTOWN,
SONORA",Tier 2,665,621,38,58,6
RADUM 1105*,10/25/2020 20:55,10/27/2020 8:58,PLEASANTON,"Partially
Outside
HFTD,
Tier 3,
Tier 2",242,208,33,15,1
RED BLUFF 1101*,10/25/2020 10:05,10/26/2020 14:35,RED BLUFF,Tier 2,173,166,4,16,3
REDBUD 1101*,10/25/2020 15:24,10/27/2020 15:05,"CLEARLAKE OAKS,
GLENHAVEN","Partially
Outside
HFTD,
Tier 3,
Tier 2",1282,1159,94,105,29
REDBUD 1102*,10/25/2020 15:19,10/27/2020 15:19,"CLEARLAKE,
CLEARLAKE OAKS","Partially
Outside
HFTD,
Tier 2",2395,2258,121,207,16
RINCON 1101*,10/25/2020 15:04,10/27/2020 17:12,SANTA ROSA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",1571,1475,94,143,2
RINCON 1103*,10/25/2020 15:06,10/28/2020 14:12,SANTA ROSA,Tier 3,166,138,24,8,4
ROB ROY 2104*,10/25/2020 22:08,10/26/2020 15:53,WATSONVILLE,Tier 3,59,50,9,5,0
ROSSMOOR 1108*,10/25/2020 20:11,10/27/2020 17:13,"LAFAYETTE,
MORAGA","Tier 3,
Tier 2",169,159,10,7,0
SALMON CREEK 1101*,10/25/2020 19:03,10/26/2020 18:36,"BODEGA, BODEGA
BAY","Partially
Outside
HFTD,
Tier 3,
Tier 2",30,25,3,2,2
SALT SPRINGS 2101,10/25/2020 16:00,10/27/2020 17:06,"ARNOLD, BEAR
VALLEY, PIONEER","Partially
Outside
HFTD,
Tier 2",386,332,53,5,1
SALT SPRINGS 2102,10/25/2020 16:01,10/27/2020 17:25,"ARNOLD, CAMP
CONNELL,
DORRINGTON","Tier 3,
Tier 2",1978,1901,74,32,3
SAN JOAQUIN #2 1103,10/25/2020 21:01,10/26/2020 18:04,"NORTH FORK, O
NEALS","Tier 3,
Tier 2",991,846,136,89,9
SAN JOAQUIN #3 1101,10/25/2020 21:01,10/27/2020 12:29,"BASS LAKE, NORTH
FORK, OAKHURST,
WISHON","Tier 3,
Tier 2",698,592,106,37,0
SAN JOAQUIN #3 1102,10/25/2020 21:02,10/27/2020 8:57,"NORTH FORK,
WISHON","Tier 3,
Tier 2",258,249,9,18,0
SAN JOAQUIN #3 1103,10/25/2020 21:02,10/26/2020 19:32,NORTH FORK,"Tier 3,
Tier 2",860,754,103,72,3
"SAN LEANDRO U
1109*",10/25/2020 20:26,10/27/2020 15:04,OAKLAND,"Tier 3,
Tier 2",1145,1087,57,121,1
"SAN LEANDRO U
1114*",10/25/2020 20:06,10/26/2020 19:11,SAN LEANDRO,"Partially
Outside
HFTD,
Tier 2",1081,1057,23,41,1
SAN RAFAEL 1107*,10/25/2020 19:07,10/26/2020 18:04,KENTFIELD,"Tier 3,
Tier 2",441,425,16,20,0
SAN RAFAEL 1108*,10/25/2020 19:00,10/26/2020 20:11,"FAIRFAX,
KENTFIELD, ROSS,
SAN ANSELMO","Partially
Outside
HFTD,
Tier 3,
Tier 2",3183,2918,265,75,0
SAN RAMON 2107*,10/25/2020 20:00,10/27/2020 11:09,"CASTRO VALLEY,
DUBLIN,
PLEASANTON","Partially
Outside
HFTD,
Tier 3",1221,1148,71,39,2
SAN RAMON 2108*,10/25/2020 20:00,10/26/2020 18:43,"CASTRO VALLEY,
MORAGA, SAN
RAMON",Tier 3,186,135,51,10,0
SANTA ROSA A 1104*,10/25/2020 15:12,10/27/2020 15:30,SANTA ROSA,"Tier 3,
Tier 2",458,289,162,22,7
SARATOGA 1107*,10/25/2020 22:03,10/26/2020 18:32,SARATOGA,"Tier 3,
Tier 2",30,26,4,2,0
SAUSALITO 1101*,10/25/2020 19:20,10/27/2020 10:10,SAUSALITO,"Partially
Outside
HFTD",37,36,1,3,0
SAUSALITO 1102*,10/25/2020 19:05,10/27/2020 9:40,SAUSALITO,"Partially
Outside
HFTD,
Tier 2",158,84,70,2,4
SHADY GLEN 1101,10/25/2020 16:20,10/27/2020 10:52,"COLFAX, GRASS
VALLEY","Partially
Outside
HFTD,
Tier 3,
Tier 2",1852,1548,299,111,5
SHADY GLEN 1102,10/25/2020 16:21,10/27/2020 11:47,"COLFAX, GRASS
VALLEY","Partially
Outside
HFTD,
Tier 3,
Tier 2",736,662,72,66,2
"SHINGLE SPRINGS
2109*",10/25/2020 15:50,10/26/2020 14:10,"COLOMA, GARDEN
VALLEY, LOTUS,
PLACERVILLE","Tier 3,
Tier 2",1695,1496,191,111,8
SILVERADO 2102*,10/25/2020 15:51,10/27/2020 21:11,"NAPA, OAKVILLE,
RUTHERFORD,
SAINT HELENA,
YOUNTVILLE","Partially
Outside
HFTD,
Tier 3,
Tier 2",543,285,146,8,112
SILVERADO 2103*,10/25/2020 15:11,10/27/2020 22:24,"RUTHERFORD,
SAINT HELENA","Partially
Outside
HFTD,
Tier 3,
Tier 2",278,171,55,0,52
SILVERADO 2104*,10/25/2020 15:30,10/28/2020 22:25,"ANGWIN,
CALISTOGA, DEER
PARK, POPE
VALLEY, SAINT
HELENA","Partially
Outside
HFTD,
Tier 3,
Tier 2",2080,1734,217,92,129
SILVERADO 2105*,10/25/2020 16:23,10/28/2020 13:30,"CALISTOGA, SAINT
HELENA","Partially
Outside
HFTD,
Tier 3,
Tier 2",433,351,46,20,36
SOBRANTE 1101,10/25/2020 20:19,10/27/2020 11:27,"LAFAYETTE,
ORINDA","Partially
Outside
HFTD,
Tier 2",1982,1604,365,82,13
SOBRANTE 1102,10/25/2020 20:10,10/27/2020 14:59,"LAFAYETTE,
ORINDA","Partially
Outside
HFTD,
Tier 3,
Tier 2",1797,1694,97,110,6
SOBRANTE 1103,10/25/2020 20:01,10/27/2020 16:45,ORINDA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",543,493,50,28,0
SONOMA 1102*,10/25/2020 15:04,10/27/2020 19:03,SONOMA,"Partially
Outside
HFTD,
Tier 3",153,139,7,6,7
SONOMA 1103*,10/25/2020 15:35,10/27/2020 17:37,SONOMA,"Partially
Outside
HFTD,
Tier 3",287,261,14,13,12
SONOMA 1104*,10/25/2020 15:19,10/28/2020 9:34,SONOMA,"Partially
Outside
HFTD,
Tier 2",799,689,85,28,25
SONOMA 1105*,10/25/2020 15:07,10/27/2020 16:54,SONOMA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",385,323,29,22,33
SONOMA 1106*,10/25/2020 15:28,10/27/2020 18:20,SONOMA,"Partially
Outside
HFTD,
Tier 3",79,70,9,2,0
SONOMA 1107*,10/25/2020 15:31,10/27/2020 15:49,SONOMA,"Partially
Outside
HFTD,
Tier 2",5,4,1,0,0
SPAULDING 1101,10/25/2020 15:52,10/27/2020 18:50,"EMIGRANT GAP,
SODA SPRINGS","Partially
Outside
HFTD,
Tier 3,
Tier 2",163,85,69,4,9
SPRING GAP 1702,10/25/2020 16:01,10/27/2020 12:54,"COLD SPRINGS,
LONG BARN,
PINECREST,
STRAWBERRY","Partially
Outside
HFTD,
Tier 3,
Tier 2",1478,1330,146,26,2
STANISLAUS 1701,10/25/2020 16:01,10/27/2020 14:46,"ARNOLD, AVERY,
HATHAWAY PINES,
MURPHYS","Tier 3,
Tier 2",1790,1595,190,106,5
STANISLAUS 1702,10/25/2020 16:01,10/27/2020 15:12,"ARNOLD, AVERY,
HATHAWAY PINES,
MURPHYS","Tier 3,
Tier 2",4891,4590,300,172,1
STELLING 1110*,10/25/2020 22:51,10/27/2020 12:27,"CUPERTINO, LOS
GATOS, SARATOGA","Partially
Outside
HFTD,
Tier 3,
Tier 2",391,329,54,8,8
STILLWATER 1101,10/25/2020 10:02,10/26/2020 15:10,REDDING,"Partially
Outside
HFTD,
Tier 2",702,598,98,57,6
STILLWATER 1102,10/25/2020 10:02,10/27/2020 10:26,REDDING,"Partially
Outside
HFTD,
Tier 2",1370,1320,50,110,0
SUMMIT 1101,10/25/2020 15:57,10/27/2020 21:01,SODA SPRINGS,"Partially
Outside
HFTD,
Tier 2",1051,963,82,19,6
SUMMIT 1102,10/25/2020 16:42,10/27/2020 19:16,"NORDEN, SODA
SPRINGS","Partially
Outside
HFTD,
Tier 2",288,211,77,2,0
SUNOL 1101,10/25/2020 20:59,10/27/2020 11:58,"FREMONT,
LIVERMORE,
PLEASANTON,
SUNOL","Partially
Outside
HFTD,
Tier 3,
Tier 2",702,496,174,26,32
SWIFT 2107*,10/25/2020 21:35,10/26/2020 18:37,SAN JOSE,"Partially
Outside
HFTD,
Tier 2",34,29,5,2,0
SWIFT 2110*,10/25/2020 21:22,10/27/2020 10:15,"LIVERMORE, SAN
JOSE","Partially
Outside
HFTD,
Tier 2",359,301,43,23,15
"SYCAMORE CREEK
1111*",10/25/2020 14:06,10/27/2020 15:28,"CHICO, COHASSET","Partially
Outside
HFTD,
Tier 3,
Tier 2",509,461,44,32,4
TAMARACK 1101,10/25/2020 16:06,10/27/2020 17:44,SODA SPRINGS,"Partially
Outside
HFTD,
Tier 2",429,391,32,6,6
TAMARACK 1102,10/25/2020 16:06,10/27/2020 17:47,SODA SPRINGS,"Partially
Outside
HFTD",137,108,23,2,6
TAR FLAT 0401,10/25/2020 16:03,10/26/2020 14:08,SONORA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",345,336,9,24,0
TAR FLAT 0402,10/25/2020 16:03,10/26/2020 14:54,SONORA,"Partially
Outside
HFTD,
Tier 3,
Tier 2",482,417,65,27,0
TASSAJARA 2104*,10/25/2020 20:19,10/27/2020 14:39,"DANVILLE,
PLEASANTON","Partially
Outside
HFTD,
Tier 3,
Tier 2",133,113,20,11,0
TASSAJARA 2112*,10/25/2020 20:06,10/27/2020 14:39,WALNUT CREEK,Tier 3,25,13,12,1,0
TASSAJARA 2113*,10/25/2020 20:02,10/27/2020 9:05,SAN RAMON,"Partially
Outside
HFTD,
Tier 3",446,431,14,21,1
TIGER CREEK 0201,10/25/2020 16:05,10/27/2020 13:48,PIONEER,"Tier 3,
Tier 2",14,3,11,0,0
TULUCAY 1101*,10/25/2020 16:24,10/27/2020 10:39,"AMERICAN
CANYON, NAPA","Partially
Outside
HFTD,
Tier 2",4,3,1,0,0
TYLER 1105*,10/25/2020 10:05,10/26/2020 14:58,RED BLUFF,"Partially
Outside
HFTD,
Tier 2",227,173,29,13,25
UKIAH 1114*,10/25/2020 15:22,10/26/2020 17:56,UKIAH,"Partially
Outside
HFTD,
Tier 2",45,31,14,2,0
UPPER LAKE 1101*,10/25/2020 15:07,10/27/2020 12:16,"LAKEPORT, UPPER
LAKE","Partially
Outside
HFTD,
Tier 3,
Tier 2",538,443,62,41,33
VACA DIXON 1105*,10/25/2020 17:23,10/26/2020 17:36,VACAVILLE,Tier 2,13,11,2,2,0
VACAVILLE 1104*,10/25/2020 17:15,10/26/2020 18:30,"FAIRFIELD,
VACAVILLE",Tier 2,52,46,6,4,0
VACAVILLE 1108*,10/25/2020 17:54,10/26/2020 17:55,VACAVILLE,"Partially
Outside
HFTD,
Tier 2",230,166,49,11,15
VACAVILLE 1111*,10/25/2020 17:15,10/26/2020 17:48,VACAVILLE,"Partially
Outside
HFTD,
Tier 2",27,23,4,2,0
VASCO 1102*,10/25/2020 20:56,10/26/2020 18:09,LIVERMORE,"Partially
Outside
HFTD,
Tier 2",365,266,76,26,23
VINEYARD 2107*,10/25/2020 21:05,10/27/2020 8:19,PLEASANTON,"Partially
Outside
HFTD,
Tier 2",81,74,7,4,0
VINEYARD 2108*,10/25/2020 20:21,10/27/2020 8:32,PLEASANTON,Tier 3,1,1,0,0,0
VINEYARD 2110*,10/25/2020 20:08,10/27/2020 10:06,LIVERMORE,Tier 2,28,15,11,1,2
VOLTA 1101,10/25/2020 15:29,10/27/2020 12:14,"MANTON, MILL
CREEK, MINERAL,
PAYNES CREEK,
RED BLUFF,
SHINGLETOWN","Partially
Outside
HFTD,
Tier 3,
Tier 2",1290,1081,175,62,34
VOLTA 1102,10/25/2020 14:17,10/27/2020 12:22,SHINGLETOWN,"Partially
Outside
HFTD,
Tier 3,
Tier 2",2574,2390,173,229,11
WEIMAR 1101,10/25/2020 16:18,10/27/2020 9:51,"APPLEGATE,
COLFAX, WEIMAR",Tier 2,1625,1516,101,89,8
WEIMAR 1102,10/25/2020 16:19,10/27/2020 11:19,"COLFAX, MEADOW
VISTA, WEIMAR",Tier 2,635,602,33,51,0
WEST POINT 1101,10/25/2020 16:02,10/27/2020 14:30,"PIONEER,
VOLCANO","Tier 3,
Tier 2",1758,1695,59,131,4
