Circuit Name,HFTD Tier(s),De-Energization Date and Time (PDT),Counties,Restoration Date and Time (PDT),,,,,,,,
CORTINA 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:03","WILLIAMS, ARBUCKLE","10/10/2019
16:27",,,,,,,,
COTTONWOOD 1102*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:22","COTTONWOOD,
ANDERSON, IGO","10/11/2019
13:48",,,,,,,,
COTTONWOOD 1103*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:28","COTTONWOOD, RED
BLUFF","10/11/2019
15:32",,,,,,,,
CURTIS 1701,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:28",SONORA,"10/10/2019
16:22",,,,,,,,
CURTIS 1702,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:28","SONORA, TUOLUMNE,
SOULSBYVILLE","10/11/2019
11:24",,,,,,,,
CURTIS 1703,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:28","GROVELAND,
SONORA,
JAMESTOWN,
TUOLUMNE","10/11/2019
17:03",,,,,,,,
CURTIS 1704,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:26","SONORA, COLUMBIA","10/11/2019
15:29",,,,,,,,
CURTIS 1705,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:23","SONORA, TUOLUMNE,
SOULSBYVILLE","10/11/2019
15:49",,,,,,,,
DAIRYVILLE 1101,NON-HFTD,"10/09/2019
00:34","RED BLUFF, LOS
MOLINOS","10/10/2019
20:08",,,,,,,,
DEL MAR 2109,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:22","ROCKLIN, LINCOLN,
LOOMIS","10/10/2019
16:24",,,,,,,,
DESCHUTES 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:19","MILLVILLE, OAK RUN,
PALO CEDRO,
SHINGLETOWN","10/11/2019
14:02",,,,,,,,
DESCHUTES 1104,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:19","PALO CEDRO,
REDDING, ANDERSON,
MILLVILLE, BELLA
VISTA","10/11/2019
08:29",,,,,,,,
"DIAMOND SPRINGS
1103*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:41",PLACERVILLE,"10/11/2019
17:50",,,,,,,,
"DIAMOND SPRINGS
1104*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:15","EL DORADO,
DIAMOND SPRINGS,
PLACERVILLE","10/10/2019
16:17",,,,,,,,
DIAMOND SPRINGS 1105,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:45","EL DORADO,
PLACERVILLE,
SHINGLE SPRINGS,
DIAMOND SPRINGS","10/11/2019
14:26",,,,,,,,
"DIAMOND SPRINGS
1107*","TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:51","PLACERVILLE,
SHINGLE SPRINGS","10/10/2019
18:38",,,,,,,,
DOBBINS 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:27","DOBBINS, OREGON
HOUSE,
CAMPTONVILLE","10/11/2019
15:00",,,,,,,,
DRUM 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:11","EMIGRANT GAP,
BAXTER, ALTA","10/11/2019
18:13",,,,,,,,
DUNBAR 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:51","SANTA ROSA,
KENWOOD, GLEN
ELLEN","10/11/2019
17:56",,,,,,,,
DUNBAR 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:50","GLEN ELLEN,
SONOMA, SANTA ROSA","10/11/2019
21:44",,,,,,,,
DUNBAR 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:50","SONOMA, GLEN
ELLEN","10/11/2019
15:08",,,,,,,,
DUNNIGAN 1101,NON-HFTD,"10/09/2019
00:27","ARBUCKLE,
DUNNIGAN","10/09/2019
22:02",,,,,,,,
EAST MARYSVILLE 1108,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:20","MARYSVILLE,
BROWNS VALLEY","10/10/2019
15:25",,,,,,,,
EDES 1112,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:33",OAKLAND,"10/10/2019
20:05",,,,,,,,
EEL RIVER 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:12","LOLETA, FERNDALE,
FORTUNA, EUREKA,
FERNBRIDGE","10/10/2019
02:00",,,,,,,,
EEL RIVER 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:12",FERNDALE,"10/10/2019
01:46",,,,,,,,
EL DORADO P H 2101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:34","POLLOCK PINES,
GRIZZLY FLATS, TWIN
BRIDGES, KYBURZ,
PLACERVILLE,
PACIFIC HOUSE,
SOMERSET","10/11/2019
18:38",,,,,,,,
EL DORADO P H 2102,TIER 3,"10/09/2019
03:35",POLLOCK PINES,"10/11/2019
13:35",,,,,,,,
ELECTRA 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:40","JACKSON, PINE
GROVE","10/11/2019
10:21",,,,,,,,
ELECTRA 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:36","JACKSON,
MOKELUMNE HILL","10/10/2019
18:34",,,,,,,,
FAIRHAVEN 1103,NON-HFTD,"10/09/2019
00:56","ARCATA, MANILA,
SAMOA","10/09/2019
22:26",,,,,,,,
FAIRHAVEN 1104,NON-HFTD,"10/09/2019
00:56",SAMOA,"10/09/2019
22:26",,,,,,,,
FELTON 0401,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:43","FELTON, BEN
LOMOND","10/10/2019
16:46",,,,,,,,
FITCH MOUNTAIN 1113,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:22",HEALDSBURG,"10/12/2019
14:45",,,,,,,,
FLINT 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:26",AUBURN,"10/10/2019
20:21",,,,,,,,
FORESTHILL 1101,"TIER 3, TIER 2","10/09/2019
02:01",FORESTHILL,"10/11/2019
17:42",,,,,,,,
FORESTHILL 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:01",FORESTHILL,"10/11/2019
13:54",,,,,,,,
FORT SEWARD 1121,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:28","ALDERPOINT, ZENIA","10/10/2019
04:13",,,,,,,,
FORT SEWARD 1122,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:28","BLOCKSBURG,
ALDERPOINT,
GARBERVILLE","10/10/2019
04:03",,,,,,,,
FRANKLIN 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:46",PINOLE,"10/10/2019
16:10",,,,,,,,
FREMONT 1104*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/10/2019
00:58",FREMONT,"10/10/2019
16:05",,,,,,,,
FRENCH GULCH 1101,TIER 2,"10/09/2019
00:34",FRENCH GULCH,"10/11/2019
15:40",,,,,,,,
FRENCH GULCH 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:34",WHISKEYTOWN,"10/11/2019
15:59",,,,,,,,
FROGTOWN 1701,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:24","MURPHYS, DOUGLAS
FLAT, ANGELS CAMP,
SHEEP RANCH, AVERY","10/11/2019
12:13",,,,,,,,
FROGTOWN 1702,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
15:25","ANGELS CAMP,
COPPEROPOLIS,
VALLECITO,
MURPHYS, SAN
ANDREAS","10/11/2019
20:50",,,,,,,,
FRUITLAND 1142,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:28","MIRANDA, MYERS
FLAT, PHILLIPSVILLE","10/10/2019
04:25",,,,,,,,
FULTON 1102*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:32","HEALDSBURG,
WINDSOR, SANTA
ROSA","10/11/2019
15:25",,,,,,,,
FULTON 1107*,"TIER 3,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:50",SANTA ROSA,"10/11/2019
10:58",,,,,,,,
GARBERVILLE 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","GARBERVILLE,
LEGGETT, PIERCY,
WESTPORT","10/10/2019
05:55",,,,,,,,
GARBERVILLE 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27","REDWAY, PETROLIA,
WHITETHORN,
GARBERVILLE,
HONEYDEW,
PHILLIPSVILLE","10/10/2019
05:16",,,,,,,,
GARBERVILLE 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:27",GARBERVILLE,"10/10/2019
03:33",,,,,,,,
GEARY 0401,NON-HFTD,"10/09/2019
22:50","PLEASANT HILL,
WALNUT CREEK","10/10/2019
17:16",,,,,,,,
GERBER 1101,NON-HFTD,"10/09/2019
00:31","GERBER, TEHAMA,
CORNING","10/10/2019
18:49",,,,,,,,
GERBER 1102,NON-HFTD,"10/09/2019
00:31","GERBER, RED BLUFF,
PROBERTA","10/10/2019
19:00",,,,,,,,
GEYSERVILLE 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:12","GEYSERVILLE,
HEALDSBURG,
CLOVERDALE,
ANNAPOLIS","10/12/2019
11:08",,,,,,,,
GEYSERVILLE 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:54","GEYSERVILLE,
HEALDSBURG,
CLOVERDALE","10/11/2019
19:54",,,,,,,,
GIRVAN 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:36","REDDING, IGO,
ANDERSON,
COTTONWOOD","10/11/2019
11:51",,,,,,,,
GIRVAN 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:36",REDDING,"10/11/2019
12:48",,,,,,,,
GLENN 1101*,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
00:28",ORLAND,"10/10/2019
19:20",,,,,,,,
GRASS VALLEY 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:32",GRASS VALLEY,"10/11/2019
08:33",,,,,,,,
GRASS VALLEY 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:33",GRASS VALLEY,"10/11/2019
08:06",,,,,,,,
GRASS VALLEY 1103,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
02:32","GRASS VALLEY, PENN
VALLEY","10/11/2019
18:57",,,,,,,,
GREEN VALLEY 2101*,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
22:49",WATSONVILLE,"10/11/2019
10:29",,,,,,,,
HALF MOON BAY 1101,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:15","EL GRANADA, HALF
MOON BAY, MOSS
BEACH, WOODSIDE,
SAN MATEO","10/10/2019
18:08",,,,,,,,
HALF MOON BAY 1102,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:11","HALF MOON BAY,
MONTARA, EL
GRANADA, MOSS
BEACH","10/10/2019
18:36",,,,,,,,
HALF MOON BAY 1103,"TIER 3, TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
23:11","HALF MOON BAY,
PESCADERO, LA
HONDA, SAN
GREGORIO, LOMA
MAR, WOODSIDE","10/11/2019
16:39",,,,,,,,
HALSEY 1101,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:25","MEADOW VISTA,
AUBURN","10/11/2019
15:01",,,,,,,,
HALSEY 1102,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
03:25","AUBURN, APPLEGATE,
MEADOW VISTA,
COLFAX","10/11/2019
08:41",,,,,,,,
HARRIS 1108,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:22",EUREKA,"10/10/2019
02:00",,,,,,,,
HARRIS 1109,"TIER 2,
PARTIALLY
OUTSIDE HFTD","10/09/2019
01:22",EUREKA,"10/10/2019
02:03",,,,,,,,
